siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
68200032800091,08.12Z,4521.07,4.2,10.0,2.14,3.03
45520300000027,10.72Z,2172.18,0.2,0,2.56,0.13
79359836800017,10.71B,2187.31,0.2,0,9.93,0.48
49293371800024,20.42Z,3934.4,0.5,10.0,2.43,0.06
47845579300990,10.71C,2187.31,0.2,0,9.93,0.48
80392461200010,10.71C,2187.31,0.2,0,9.93,0.48
79412793600019,10.71C,2187.31,0.2,0,9.93,0.48
79478571700016,10.71C,2187.31,0.2,0,9.93,0.48
81139844500023,10.71C,2187.31,0.2,0,9.93,0.48
52791803100016,10.71C,2187.31,0.2,0,9.93,0.48
48745262500014,10.71C,2187.31,0.2,0,9.93,0.48
51529573100019,10.71C,2187.31,0.2,0,9.93,0.48
51280863500019,10.71C,2187.31,0.2,0,9.93,0.48
69552001500071,17.21C,7414.49,10,1.93,7.32,10
78262270800017,01.19Z,3500.64,1.1,8.25,2.05,1.01
80842818900019,10.71C,2187.31,0.2,0,9.93,0.48
79015681400010,10.71C,2187.31,0.2,0,9.93,0.48
47845579301766,10.71C,2187.31,0.2,0,9.93,0.48
55208131715461,35.11Z,4978.0,10,0,1.9,10
50956539600017,27.12Z,3741.73,2.2,8.22,2.27,1.18
51102922500014,10.71C,2187.31,0.2,0,9.93,0.48
78692013200028,17.21B,7414.49,10,1.93,7.32,10
55208131734132,35.11Z,4978.0,10,0,1.9,10
78582050700040,24.51Z,3308.68,1.3,6.36,2.3,0.5
48762575800023,24.42Z,8652.39,10,9.04,2.36,10
54378044900053,10.61A,7049.18,3.2,10,4.9,4.71
50085595200015,10.71C,2187.31,0.2,0,9.93,0.48
54288085100010,17.21C,7414.49,10,1.93,7.32,10
56288069000010,16.24Z,2184.04,0.4,0,2.51,0.19
50750063500028,17.22Z,4010.39,7.8,0.0,2.5,7.78
48215632000038,10.89Z,6670.62,8.6,5.26,2.49,9.9
47845579301519,10.71C,2187.31,0.2,0,9.93,0.48
52083163700027,10.71C,2187.31,0.2,0,9.93,0.48
47845579301923,10.71C,2187.31,0.2,0,9.93,0.48
58204015000044,17.21B,7414.49,10,1.93,7.32,10
50881472000027,10.71C,2187.31,0.2,0,9.93,0.48
55208131761747,35.11Z,4978.0,10,0,1.9,10
47845579300016,10.71C,2187.31,0.2,0,9.93,0.48
70162084100018,10.71D,2187.31,0.2,0,9.93,0.48
51398444300012,10.71C,2187.31,0.2,0,9.93,0.48
49088138000011,10.71C,2187.31,0.2,0,9.93,0.48
49423009700029,10.71A,2187.31,0.2,0,9.93,0.48
64201616600430,23.63Z,4311.19,4.8,10.0,2.5,0.59
47845579301154,10.71C,2187.31,0.2,0,9.93,0.48
63850296300181,10.71B,2187.31,0.2,0,9.93,0.48
52825809800011,10.71C,2187.31,0.2,0,9.93,0.48
65480068900253,23.51Z,4103.31,3.1,10.0,2.15,1.6
51887939000012,29.32Z,2937.27,5.3,0.8,2.43,2.66
49114280800014,10.71C,2187.31,0.2,0,9.93,0.48
59682033200176,29.32Z,2937.27,5.3,0.8,2.43,2.66
67203997100979,10.51A,16353.49,6.1,10,9.89,8.91
77556139200363,03.21Z,3649.22,1.5,8.82,2.04,1.35
51363480800085,29.32Z,2947.31,5.4,0.8,2.43,2.66
52878212100016,17.21B,7414.49,10,1.93,7.32,10
81831370200024,17.21C,7414.49,10,1.93,7.32,10
57204685200032,01.42Z,7060.4,9.0,9.56,2.14,7.55
65480068900097,23.51Z,4070.84,2.8,10.0,2.15,1.6
44517427900023,25.29Z,2204.52,0.4,0,2.15,0.62
80475896900047,38.21Z,4021.27,1.4,10.0,2.4,0.75
80475896900054,38.21Z,4021.27,1.4,10.0,2.4,0.75
48152008800040,28.92Z,3510.73,0.3,8.17,2.25,0.27
